RA,JC,AA,PA,PPS,SPS,Label
0.018338022,0.045454545,1.483104436,4200,0.209813582,0.132964499,1
0.002973012,0.018757327,3.232141595,303577,0.212528268,0.056373421,1
0.012369447,0.007434944,0.928946612,6440,0.152711805,0.0748132,1
0.00877193,0.010752688,0.211139801,184,0.11785113,0.081649658,1
0.043143345,0.020395156,4.273446653,174994,0.126974741,0.049319016,1
0.005082553,0.028877005,5.34370335,344800,0.233069232,0.090734272,1
0,0,0,36,0,0,1
0.168582507,0.142156863,5.039206372,9412,0.471666631,0.208786923,1
2.74E-05,0.000213379,0.178602076,373400,0.030570892,0.003276136,1
0.001359215,0.045454545,0.273636564,493,0.183339699,0,1
0.001246883,0.013888889,0.149541462,276,0.144337567,0.060633906,1
0.000149883,0.000133784,0.360331654,179382,0.062581539,0.009458247,1
0.001059938,0.003456221,0.353354757,45640,0.048001536,0.014059891,1
0,0,0,1980,0,0,1
0,0,0,1404,0,0,1
0.563539859,0.126104891,33.20001558,839268,0.291982581,0.135285398,1
0,0,0,87,0,0,1
0,0,0,40,0,0,1
0.008734679,0.110144928,4.507460649,33810,0.386629541,0,1
0.000102123,0.000785238,0.193868545,55594,0.046803638,0.004259757,1
0.00321898,0.008561644,0.634975775,6358,0.148543978,0.062869461,1
0.036396308,0.068888889,4.430681103,25620,0.323004299,0.050259662,1
0.004484305,0.001494768,0.184939566,3325,0.035691531,0,1
0.014799578,0.012195122,0.537971099,2160,0.12768848,0.034752402,1
0.32359349,0.057803468,2.639852106,8216,0.194624736,0.071439963,1
0.001701524,0.01119403,0.710741821,59985,0.047662298,0.02449796,1
0.304457426,0.071126761,15.15901092,573390,0.120325879,0.079781456,1
0.18819648,0.014128728,1.8703773,101520,0.052342392,0.023669053,1
0,0,0,2432,0,0,1
0.002892559,0.022222222,0.516806108,2988,0.10413152,0.077615053,1
0,0,0,844,0,0,1
0.002518892,0.000800641,0.167114079,46056,0.020770325,0.004684881,1
0.001262626,0.0125,0.149822579,648,0.111111111,0.040128618,1
0.005847277,0.017675255,5.765728322,2336562,0.166618539,0.036687954,1
