RA,JC,AA,PA,PPS,SPS,Label
0.006657193,0.003762935,0.61353155,256566,0.223606798,0,1
0.004249691,0.022727273,0.323481939,1296,0,0.062994079,1
0.263111482,0.049267643,6.907268086,53475,0.071337638,0.141241316,1
6.37E-06,0.00591716,0.083581765,336,0.121267813,0,1
0.05705301,0.1,0.54289276,57,0.348155312,0.320256308,1
0,0,0,5,0,0,1
0.000438898,0.003476246,0.325256489,33040,0.039223227,0.011056645,1
0.002941176,0.015151515,0.171557614,1050,0.089087081,0,1
0.013343741,0.008372093,1.252041358,21280,0.10176437,0.057436653,1
0.143589744,5.38E-06,0.759140618,7805091,0,0,1
0.000332325,0.013084112,0.661299862,21457,0.099979598,0.04788347,1
0.171513786,0.024691358,1.379459725,12194,0.188982237,0.030429031,1
1.31E-06,0.006993007,0.073830359,4700,0.028284271,0,1
0.023358074,0.028479312,16.94529529,4230632,0.304058742,0.076440172,1
0.000978474,0.006578947,0.144310207,5762,0,0.013375009,1
0.001638527,0.053435115,0.797980048,4757,0.100301357,0.096260704,1
4.13E-05,0.010989011,0.099058777,1027,0.098058068,0.031403715,1
0.022427691,0.020041465,12.55423717,3547775,0.206653116,0.055965697,1
0.063568294,0.000467577,5.820754919,18465876,0.049202661,0.01931601,1
0.001571518,0.004996157,1.315851809,311250,0.051812776,0.023568289,1
0,0,0,28,0,0,1
0.036967172,0.032076985,5.451754045,413492,0.060808986,0.055563116,1
0.010327523,0.026315789,0.496190391,1700,0.109690864,0,1
0.113883344,0.026218951,8.512420703,720888,0.08158238,0.025580365,1
0,0,0,943,0,0,1
0.001358696,0.002118644,0.151486917,33880,0,0.005432857,1
0.062289551,0.081677704,5.252056954,50025,0.268650732,0.154266815,1
0,0,0,1729,0,0,1
0.005347594,0.005649718,0.191164067,696,0.353553391,0.038014296,1
0.022843991,0.031818182,1.194419557,3180,0.544949261,0.124132208,1
0.228706867,0.0017366,6.007355833,12526356,0.044861067,0.015998505,1
0.002636129,0.011764706,0.298462852,2907,0.122627868,0.018608073,1
6.37E-06,0.004608295,0.083581765,2080,0,0.022249708,1
0.01010101,0.021276596,0.21762218,407,0.069171446,0.064282435,1
0,0,0,1280,0,0,1
0,0,0,432,0,0,1
0.005923423,0.012658228,0.475501739,1631,0.21821789,0.075093926,1
0.150993735,0.009357455,2.877544026,94977,0.11245608,0.045111507,1
0.000469277,0.003508772,0.84769938,76320,0.088888889,0.029072654,1
0,0,0,115,0,0,1
0.009450367,0.05,0.740656546,1700,0.171498585,0,1
